Num of Spin	TotalWinAmount	Total CoinIn	Total CoinOut	PayBack	Win Standard Deviation	RTP Standard Deviation	Win Tier 0 Count	Win Tier 1 Count	Win Tier 2 Count	Win Tier 3 Count	Win Tier 4 Count	Win Tier 5 Count	Win Tier 6 Count	Win Tier 7 Count	Win Tier 8 Count	Win Tier 9 Count	Win Tier 10 Count	Win Tier 11 Count	Win Tier 12 Count	Win Tier 13 Count	Win Tier 14 Count	Win Tier 15 Count	Win Tier 16 Count	Win Tier 17 Count	Win Tier 18 Count	Win Tier 19 Count	Win Tier 20 Count	Win Tier 21 Count	Win Tier 22 Count	Win Tier 23 Count	Win Tier 24 Count	Win Tier 25 Count	Win Tier 0 TotalWin	Win Tier 1 TotalWin	Win Tier 2 TotalWin	Win Tier 3 TotalWin	Win Tier 4 TotalWin	Win Tier 5 TotalWin	Win Tier 6 TotalWin	Win Tier 7 TotalWin	Win Tier 8 TotalWin	Win Tier 9 TotalWin	Win Tier 10 TotalWin	Win Tier 11 TotalWin	Win Tier 12 TotalWin	Win Tier 13 TotalWin	Win Tier 14 TotalWin	Win Tier 15 TotalWin	Win Tier 16 TotalWin	Win Tier 17 TotalWin	Win Tier 18 TotalWin	Win Tier 19 TotalWin	Win Tier 20 TotalWin	Win Tier 21 TotalWin	Win Tier 22 TotalWin	Win Tier 23 TotalWin	Win Tier 24 TotalWin	Win Tier 25 TotalWin	Base 0 Total Max Pay	Base 1 Total Max Pay	Base 2 Total Max Pay	Base 3 Total Max Pay	Base 4 Total Max Pay	Base 5 Total Max Pay	Base 6 Total Max Pay	Base 7 Total Max Pay	Base 8 Total Max Pay	Base 9 Total Max Pay	Base 10 Total Max Pay	Base 11 Total Max Pay	Base 12 Total Max Pay	Base 13 Total Max Pay	Base 14 Total Max Pay	Base 15 Total Max Pay	Base 16 Total Max Pay	Base 17 Total Max Pay	Base 18 Total Max Pay	Base 19 Total Max Pay	Base 20 Total Max Pay	Base 21 Total Max Pay	Base 22 Total Max Pay	Base 23 Total Max Pay	Base 24 Total Max Pay	Base 25 Total Max Pay	Fs 0 Total Max Pay	Fs 1 Total Max Pay	Fs 2 Total Max Pay	Fs 3 Total Max Pay	Fs 4 Total Max Pay	Fs 5 Total Max Pay	Fs 6 Total Max Pay	Fs 7 Total Max Pay	Fs 8 Total Max Pay	Fs 9 Total Max Pay	Fs 10 Total Max Pay	Fs 11 Total Max Pay	Fs 12 Total Max Pay	Fs 13 Total Max Pay	Fs 14 Total Max Pay	Fs 15 Total Max Pay	Fs 16 Total Max Pay	Fs 17 Total Max Pay	Fs 18 Total Max Pay	Fs 19 Total Max Pay	Fs 20 Total Max Pay	Fs 21 Total Max Pay	Fs 22 Total Max Pay	Fs 23 Total Max Pay	Fs 24 Total Max Pay	Fs 25 Total Max Pay	Bonus 0 Total Max Pay	Bonus 1 Total Max Pay	Bonus 2 Total Max Pay	Bonus 3 Total Max Pay	Bonus 4 Total Max Pay	Bonus 5 Total Max Pay	Bonus 6 Total Max Pay	Bonus 7 Total Max Pay	Bonus 8 Total Max Pay	Bonus 9 Total Max Pay	Bonus 10 Total Max Pay	Bonus 11 Total Max Pay	Bonus 12 Total Max Pay	Bonus 13 Total Max Pay	Bonus 14 Total Max Pay	Bonus 15 Total Max Pay	Bonus 16 Total Max Pay	Bonus 17 Total Max Pay	Bonus 18 Total Max Pay	Bonus 19 Total Max Pay	Bonus 20 Total Max Pay	Bonus 21 Total Max Pay	Bonus 22 Total Max Pay	Bonus 23 Total Max Pay	Bonus 24 Total Max Pay	Bonus 25 Total Max Pay	Max Pay 0 Total Hit	Max Pay 1 Total Hit	Max Pay 2 Total Hit	Max Pay 3 Total Hit	Max Pay 4 Total Hit	Max Pay 5 Total Hit	Max Pay 6 Total Hit	Max Pay 7 Total Hit	Max Pay 8 Total Hit	Max Pay 9 Total Hit	Max Pay 10 Total Hit	Max Pay 11 Total Hit	Max Pay 12 Total Hit	Max Pay 13 Total Hit	Max Pay 14 Total Hit	Max Pay 15 Total Hit	Max Pay 16 Total Hit	Max Pay 17 Total Hit	Max Pay 18 Total Hit	Max Pay 19 Total Hit	Max Pay 20 Total Hit	Max Pay 21 Total Hit	Max Pay 22 Total Hit	Max Pay 23 Total Hit	Max Pay 24 Total Hit	Max Pay 25 Total Hit	Max Pay 0 Award	Max Pay 1 Award	Max Pay 2 Award	Max Pay 3 Award	Max Pay 4 Award	Max Pay 5 Award	Max Pay 6 Award	Max Pay 7 Award	Max Pay 8 Award	Max Pay 9 Award	Max Pay 10 Award	Max Pay 11 Award	Max Pay 12 Award	Max Pay 13 Award	Max Pay 14 Award	Max Pay 15 Award	Max Pay 16 Award	Max Pay 17 Award	Max Pay 18 Award	Max Pay 19 Award	Max Pay 20 Award	Max Pay 21 Award	Max Pay 22 Award	Max Pay 23 Award	Max Pay 24 Award	Max Pay 25 Award	Base 0 Total Pay	Base 1 Total Pay	Base 2 Total Pay	Base 3 Total Pay	Base 4 Total Pay	Base 5 Total Pay	Base 6 Total Pay	Base 7 Total Pay	Base 8 Total Pay	Base 9 Total Pay	Base 10 Total Pay	Base 11 Total Pay	Base 12 Total Pay	Base 13 Total Pay	Base 14 Total Pay	Base 15 Total Pay	Base 16 Total Pay	Base 17 Total Pay	Base 18 Total Pay	Base 19 Total Pay	Base 20 Total Pay	Base 21 Total Pay	Base 22 Total Pay	Base 23 Total Pay	Base 24 Total Pay	Base 25 Total Pay	Fs 0 Total Pay	Fs 1 Total Pay	Fs 2 Total Pay	Fs 3 Total Pay	Fs 4 Total Pay	Fs 5 Total Pay	Fs 6 Total Pay	Fs 7 Total Pay	Fs 8 Total Pay	Fs 9 Total Pay	Fs 10 Total Pay	Fs 11 Total Pay	Fs 12 Total Pay	Fs 13 Total Pay	Fs 14 Total Pay	Fs 15 Total Pay	Fs 16 Total Pay	Fs 17 Total Pay	Fs 18 Total Pay	Fs 19 Total Pay	Fs 20 Total Pay	Fs 21 Total Pay	Fs 22 Total Pay	Fs 23 Total Pay	Fs 24 Total Pay	Fs 25 Total Pay	Bonus 0 Total Pay	Bonus 1 Total Pay	Bonus 2 Total Pay	Bonus 3 Total Pay	Bonus 4 Total Pay	Bonus 5 Total Pay	Bonus 6 Total Pay	Bonus 7 Total Pay	Bonus 8 Total Pay	Bonus 9 Total Pay	Bonus 10 Total Pay	Bonus 11 Total Pay	Bonus 12 Total Pay	Bonus 13 Total Pay	Bonus 14 Total Pay	Bonus 15 Total Pay	Bonus 16 Total Pay	Bonus 17 Total Pay	Bonus 18 Total Pay	Bonus 19 Total Pay	Bonus 20 Total Pay	Bonus 21 Total Pay	Bonus 22 Total Pay	Bonus 23 Total Pay	Bonus 24 Total Pay	Bonus 25 Total Pay	Fs1 Total Entries	Fs1 Total Win	Fs1 Win StdDev	Fs1 RTP StdDev	
1000	600.0	1000000	855780.0	0.85578	4163.419483021137	4.250461292612841	700	207	27	7	9	4	25	13	3	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	83620	44420	18360	32800	19120	174420	190080	64200	94700	0	57760	0	76300	0	0	0	0	0	0	0	0	0	0	0	0	0	7000	16000	6000	12000	5000	10000	20000	23200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32480	0	57760	0	76300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	7	8	2	3	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	2000	3000	4000	5000	10000	20000	23200	32480	0	57760	0	76300	0	0	0	0	0	0	0	0	0	0	0	0	0	83620	44420	18360	32800	19120	174420	190080	64200	32000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62700	0	57760	0	76300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	196760	19022.894101581915	52.40011098789868	
2000	0.0	2000000	2193600.0	1.0968	7827.037176352245	7.903510688295427	1412	394	49	21	19	9	47	29	10	3	2	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	158840	80280	55160	67900	41460	338460	384520	245020	94700	85180	57760	0	76300	0	0	268340	239680	0	0	0	0	0	0	0	0	0	12000	34000	21000	24000	5000	20000	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	32480	42640	57760	0	76300	0	0	155760	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1412	12	17	7	6	1	2	1	1	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1000	2000	3000	4000	5000	10000	20000	30000	32480	42640	57760	0	76300	0	0	155760	239680	0	0	0	0	0	0	0	0	0	158840	80280	55160	67900	41460	338460	372640	160400	32000	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11880	84620	62700	85080	57760	0	76300	0	0	268340	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	886360	62774.77713283356	92.41095181677636	
3000	0.0	3000000	3082280.0	1.0274266666666667	6785.7797816184875	6.863119757078404	2138	569	69	33	29	19	72	41	16	3	5	2	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	227860	114720	86740	104500	88080	521480	547540	381900	94700	215940	114500	0	76300	0	0	268340	239680	0	0	0	0	0	0	0	0	0	16000	48000	33000	44000	25000	50000	60000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	32480	46620	57760	0	76300	0	0	155760	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2138	16	24	11	11	5	5	3	1	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1000	2000	3000	4000	5000	10000	20000	30000	32480	46620	57760	0	76300	0	0	155760	239680	0	0	0	0	0	0	0	0	0	227860	114720	86740	104500	88080	521480	535660	227520	32000	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11880	154380	62700	215840	114500	0	76300	0	0	268340	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1143620	53313.073621767486	77.91255057924941	
4000	120.0	4000000	3821920.0	0.95548	6298.921127431265	6.370977115011472	2887	736	98	40	39	27	87	49	18	5	5	2	1	3	0	0	2	1	0	0	0	0	0	0	0	0	0	292440	157680	104500	140600	125180	625180	656960	430920	164980	215940	114500	61760	223260	0	0	268340	239680	0	0	0	0	0	0	0	0	0	22000	62000	39000	52000	35000	60000	80000	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	36740	46620	57760	61400	76300	0	0	155760	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2887	22	31	13	13	7	6	4	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1000	2000	3000	4000	5000	10000	20000	30000	36740	46620	57760	61760	76300	0	0	155760	239680	0	0	0	0	0	0	0	0	0	292440	157680	104500	140600	125180	625180	645080	249920	32200	100	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11880	181000	132780	215840	114500	61400	223260	0	0	268340	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	1448680	47742.48645840274	73.09838552119764	
5000	0.0	5000000	4756720.0	0.951344	6097.642438981151	6.1714097838338295	3599	944	113	48	47	33	109	60	22	7	6	3	1	3	1	1	2	1	0	0	0	0	0	0	0	0	0	376740	181360	125020	171120	153980	795240	801180	528240	225880	265820	166700	61760	223260	82140	90260	268340	239680	0	0	0	0	0	0	0	0	0	29000	72000	42000	72000	55000	90000	100000	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	36740	49880	57760	61400	76300	82140	90260	155760	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3599	29	36	14	18	11	9	5	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1000	2000	3000	4000	5000	10000	20000	30000	36740	49880	57760	61760	76300	82140	90260	155760	239680	0	0	0	0	0	0	0	0	0	376740	181360	125020	171120	153980	795240	789300	295520	32600	100	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11880	232720	193280	265720	166700	61400	223260	82140	90260	268340	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	1835380	43451.75590914866	69.01329631031028	
6000	100.0	6000000	5726020.0	0.9543366666666667	6109.777802287264	6.183861517423122	4324	1100	148	57	61	46	134	77	27	7	6	3	1	3	1	1	3	1	0	0	0	0	0	0	0	0	0	437940	233940	148780	222220	216540	991460	1034060	641720	225880	265820	166700	61760	223260	82140	90260	443860	239680	0	0	0	0	0	0	0	0	0	33000	86000	51000	96000	90000	150000	120000	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	36740	49880	57760	61400	76300	82140	90260	175520	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4324	33	43	17	24	18	15	6	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1000	2000	3000	4000	5000	10000	20000	30000	36740	49880	57760	61760	76300	82140	90260	175520	239680	0	0	0	0	0	0	0	0	0	437940	233940	148780	222220	216540	991460	1022180	339320	32600	100	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11880	302400	193280	265720	166700	61400	223260	82140	90260	443860	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	2080580	46391.448290889944	71.4852889484918	
7000	0.0	7000000	6502440.0	0.92892	5881.842109835026	5.954742561305946	5073	1267	166	66	74	55	151	86	32	8	6	4	2	4	1	1	3	1	0	0	0	0	0	0	0	0	0	500400	261840	173260	268660	258500	1107860	1148880	759740	264260	265820	220060	123260	293960	82140	90260	443860	239680	0	0	0	0	0	0	0	0	0	37000	100000	57000	112000	105000	150000	120000	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	38380	49880	57760	61400	76300	82140	90260	175520	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5073	37	50	19	28	21	15	6	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1000	2000	3000	4000	5000	10000	20000	30000	38380	49880	57760	61760	76300	82140	90260	175520	239680	0	0	0	0	0	0	0	0	0	500400	261840	173260	268660	258500	1107860	1137000	427420	32600	100	0	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11880	332320	231660	265720	220060	122800	293960	82140	90260	443860	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	2334340	43923.339758434624	69.5475520622813	
8000	0.0	8000000	7620020.0	0.9525025	5898.250557368158	5.9746648985528745	5776	1446	201	84	86	63	174	97	35	9	9	5	3	5	1	1	4	1	0	0	0	0	0	0	0	0	0	571240	315920	221700	313260	296700	1280560	1300020	828560	300860	395880	273960	184520	371160	82140	90260	553600	239680	0	0	0	0	0	0	0	0	0	44000	118000	69000	140000	130000	170000	140000	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	38380	49880	57760	61400	77200	82140	90260	175520	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5776	44	59	23	35	26	17	7	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1000	2000	3000	4000	5000	10000	20000	30000	38380	49880	57760	61760	77200	82140	90260	175520	239680	0	0	0	0	0	0	0	0	0	571240	315920	221700	313260	296700	1280560	1268840	496240	32600	100	0	860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31180	332320	268260	395780	273960	183660	371160	82140	90260	553600	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	2822000	41255.419497601484	67.8800292612881	
9000	0.0	9000000	8396380.0	0.9329311111111112	5692.182962208288	5.768128581553375	6501	1632	227	92	96	66	195	109	40	11	10	6	3	5	1	1	4	1	0	0	0	0	0	0	0	0	0	641680	359140	242420	349060	310400	1432540	1448320	948980	373500	443860	325120	184520	371160	82140	90260	553600	239680	0	0	0	0	0	0	0	0	0	46000	136000	75000	152000	130000	180000	140000	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	38380	49880	57760	61400	77200	82140	90260	175520	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6501	46	68	25	38	26	18	7	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1000	2000	3000	4000	5000	10000	20000	30000	38380	49880	57760	61760	77200	82140	90260	175520	239680	0	0	0	0	0	0	0	0	0	641680	359140	242420	349060	310400	1432540	1417140	540240	32600	100	0	860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31180	408740	340900	443760	325120	183660	371160	82140	90260	553600	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	3070200	39364.79446886864	64.9587107866692	
10000	0.0	10000000	9505980.0	0.950598	5919.090555346827	5.994936993830669	7217	1821	246	111	106	74	215	119	43	11	10	6	5	6	2	1	6	1	0	0	0	0	0	0	0	0	0	718060	391080	290900	385380	348700	1567700	1568620	1023940	373500	443860	325120	314220	447700	162240	90260	815020	239680	0	0	0	0	0	0	0	0	0	53000	154000	87000	168000	155000	190000	140000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	38380	49880	57760	66960	77200	82140	90260	175520	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7217	53	77	29	42	31	19	7	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1000	2000	3000	4000	5000	10000	20000	30000	38380	49880	57760	66960	77200	82140	90260	175520	239680	0	0	0	0	0	0	0	0	0	718060	391080	290900	385380	348700	1567700	1537440	585240	32600	100	0	860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31180	438700	340900	443760	325120	313360	447700	162240	90260	815020	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	3647920	39987.7028192115	67.92469980321017	
11000	0.0	11000000	1.033654E7	0.9396854545454545	5771.09657227426	5.8470988019700325	7940	1999	271	124	117	81	241	128	47	13	10	6	7	6	2	1	6	1	0	0	0	0	0	0	0	0	0	789640	428240	325060	427180	382200	1768720	1687880	1114480	447360	443860	325120	441900	447700	162240	90260	815020	239680	0	0	0	0	0	0	0	0	0	58000	156000	105000	192000	175000	220000	140000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	38380	49880	57760	66960	77200	82140	90260	175520	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7940	58	78	35	48	35	22	7	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1000	2000	3000	4000	5000	10000	20000	30000	38380	49880	57760	66960	77200	82140	90260	175520	239680	0	0	0	0	0	0	0	0	0	789640	428240	325060	427180	382200	1768720	1645400	631240	32700	100	0	960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42480	483240	414660	443760	325120	440940	447700	162240	90260	815020	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	3905100	38862.88073488246	65.82622400563463	
12000	0.0	12000000	1.199894E7	0.9999116666666666	6033.377712818136	6.115674122013531	8645	2183	291	141	130	86	264	140	49	17	15	12	8	6	2	3	7	1	0	0	0	0	0	0	0	0	0	862440	461260	368220	473460	406800	1938820	1847780	1156480	591220	673660	665020	506860	447700	162240	279720	917580	239680	0	0	0	0	0	0	0	0	0	66000	168000	114000	212000	195000	250000	180000	0	0	0	600	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	39280	49880	58400	66960	77200	82140	97660	175520	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8645	66	84	38	53	39	25	9	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1000	2000	3000	4000	5000	10000	20000	30000	39280	49880	59000	66960	77200	82140	98060	175520	239680	0	0	0	0	0	0	0	0	0	862440	461260	368220	473460	406800	1938820	1805300	673240	64300	1600	600	960	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42480	483240	526920	672060	664420	505900	447700	162240	279320	917580	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	4941540	35907.123081027305	64.79670412656016	
13000	0.0	13000000	1.292694E7	0.99438	5956.097174665768	6.038533359886383	9341	2390	314	156	140	92	290	148	52	17	17	13	11	6	2	3	7	1	0	0	0	0	0	0	0	0	0	943980	497880	408020	508860	436100	2136020	1941500	1225560	591220	763780	723680	703420	447700	162240	279720	917580	239680	0	0	0	0	0	0	0	0	0	66000	180000	126000	224000	215000	270000	180000	0	0	0	600	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	39280	49880	58400	68380	77200	82140	97660	175520	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9341	66	90	42	56	43	27	9	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1000	2000	3000	4000	5000	10000	20000	30000	39280	49880	59000	68380	77200	82140	98060	175520	239680	0	0	0	0	0	0	0	0	0	943980	497880	408020	508860	436100	2136020	1899020	716640	64300	1600	600	960	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42480	508920	526920	762180	723080	702460	447700	162240	279320	917580	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	5312560	34817.34113123774	64.12122819444826	
14000	0.0	14000000	1.400396E7	1.0002828571428573	6001.136690422467	6.083930256949668	10046	2580	345	169	150	101	310	160	56	18	17	14	11	8	3	3	8	1	0	0	0	0	0	0	0	0	0	1013940	548900	441520	542860	478100	2289460	2094140	1318880	622900	763780	776780	703420	597860	250960	279720	1041060	239680	0	0	0	0	0	0	0	0	0	68000	202000	129000	232000	220000	300000	180000	0	0	0	600	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	39280	49880	58400	68380	77520	88720	97660	175520	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10046	68	101	43	58	44	30	9	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1000	2000	3000	4000	5000	10000	20000	30000	39280	49880	59000	68380	77520	88720	98060	175520	239680	0	0	0	0	0	0	0	0	0	1013940	548900	441520	542860	478100	2289460	2023120	785440	64300	1600	600	960	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71020	533440	558600	762180	776180	702460	597860	250960	279320	1041060	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	5812760	34891.80788516592	64.25828655503474	
15000	0.0	15000000	1.463454E7	0.975636	5848.28894596565	5.929110321118939	10767	2775	368	179	163	103	331	171	57	19	18	15	11	8	3	3	8	1	0	0	0	0	0	0	0	0	0	1092480	588760	466320	589380	486800	2441720	2222780	1347280	653440	803940	828940	703420	597860	250960	279720	1041060	239680	0	0	0	0	0	0	0	0	0	73000	224000	135000	244000	220000	310000	180000	0	0	0	600	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	39280	49880	58400	68380	77520	88720	97660	175520	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10767	73	112	45	61	44	31	9	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1000	2000	3000	4000	5000	10000	20000	30000	39280	49880	59000	68380	77520	88720	98060	175520	239680	0	0	0	0	0	0	0	0	0	1092480	588760	466320	589380	486800	2441720	2136960	813840	64300	1600	600	960	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85820	533440	589140	802340	828340	702460	597860	250960	279320	1041060	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	5950420	34555.35034504018	63.473194451467684	
16000	0.0	16000000	1.564464E7	0.97779	5842.025703118736	5.923287735708885	11511	2921	399	191	174	111	353	189	62	19	19	15	12	8	3	3	9	1	0	0	0	0	0	0	0	0	0	1147420	639780	497180	628380	524100	2609240	2486360	1466720	653440	847700	828940	767220	597860	250960	279720	1179940	239680	0	0	0	0	0	0	0	0	0	78000	250000	141000	256000	230000	330000	240000	0	0	0	600	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000	39280	49880	58400	68380	77520	88720	97660	175520	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11511	78	125	47	64	46	33	12	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1000	2000	3000	4000	5000	10000	20000	30000	39280	49880	59000	68380	77520	88720	98060	175520	239680	0	0	0	0	0	0	0	0	0	1147420	639780	497180	628380	524100	2609240	2368840	878440	64300	1600	600	960	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117520	588280	589140	846100	828340	766260	597860	250960	279320	1179940	239680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	6283400	34962.11970918414	63.39641642907889	
