Num of Spin	Win Tier 0 FsType1 fsEntries	Win Tier 1 FsType1 fsEntries	Win Tier 2 FsType1 fsEntries	Win Tier 3 FsType1 fsEntries	Win Tier 4 FsType1 fsEntries	Win Tier 5 FsType1 fsEntries	Win Tier 6 FsType1 fsEntries	Win Tier 7 FsType1 fsEntries	Win Tier 8 FsType1 fsEntries	Win Tier 9 FsType1 fsEntries	Win Tier 10 FsType1 fsEntries	Win Tier 11 FsType1 fsEntries	Win Tier 12 FsType1 fsEntries	Win Tier 13 FsType1 fsEntries	Win Tier 14 FsType1 fsEntries	Win Tier 15 FsType1 fsEntries	Win Tier 16 FsType1 fsEntries	Win Tier 17 FsType1 fsEntries	Win Tier 18 FsType1 fsEntries	Win Tier 19 FsType1 fsEntries	Win Tier 20 FsType1 fsEntries	Win Tier 21 FsType1 fsEntries	Win Tier 22 FsType1 fsEntries	Win Tier 23 FsType1 fsEntries	Win Tier 24 FsType1 fsEntries	Win Tier 25 FsType1 fsEntries	Win Tier 0 FsType1 FreeSpins#	Win Tier 1 FsType1 FreeSpins#	Win Tier 2 FsType1 FreeSpins#	Win Tier 3 FsType1 FreeSpins#	Win Tier 4 FsType1 FreeSpins#	Win Tier 5 FsType1 FreeSpins#	Win Tier 6 FsType1 FreeSpins#	Win Tier 7 FsType1 FreeSpins#	Win Tier 8 FsType1 FreeSpins#	Win Tier 9 FsType1 FreeSpins#	Win Tier 10 FsType1 FreeSpins#	Win Tier 11 FsType1 FreeSpins#	Win Tier 12 FsType1 FreeSpins#	Win Tier 13 FsType1 FreeSpins#	Win Tier 14 FsType1 FreeSpins#	Win Tier 15 FsType1 FreeSpins#	Win Tier 16 FsType1 FreeSpins#	Win Tier 17 FsType1 FreeSpins#	Win Tier 18 FsType1 FreeSpins#	Win Tier 19 FsType1 FreeSpins#	Win Tier 20 FsType1 FreeSpins#	Win Tier 21 FsType1 FreeSpins#	Win Tier 22 FsType1 FreeSpins#	Win Tier 23 FsType1 FreeSpins#	Win Tier 24 FsType1 FreeSpins#	Win Tier 25 FsType1 FreeSpins#	Win Tier 0 FsType1 Hits#	Win Tier 1 FsType1 Hits#	Win Tier 2 FsType1 Hits#	Win Tier 3 FsType1 Hits#	Win Tier 4 FsType1 Hits#	Win Tier 5 FsType1 Hits#	Win Tier 6 FsType1 Hits#	Win Tier 7 FsType1 Hits#	Win Tier 8 FsType1 Hits#	Win Tier 9 FsType1 Hits#	Win Tier 10 FsType1 Hits#	Win Tier 11 FsType1 Hits#	Win Tier 12 FsType1 Hits#	Win Tier 13 FsType1 Hits#	Win Tier 14 FsType1 Hits#	Win Tier 15 FsType1 Hits#	Win Tier 16 FsType1 Hits#	Win Tier 17 FsType1 Hits#	Win Tier 18 FsType1 Hits#	Win Tier 19 FsType1 Hits#	Win Tier 20 FsType1 Hits#	Win Tier 21 FsType1 Hits#	Win Tier 22 FsType1 Hits#	Win Tier 23 FsType1 Hits#	Win Tier 24 FsType1 Hits#	Win Tier 25 FsType1 Hits#	Win Tier 0 FsType1 FsTotalPay	Win Tier 1 FsType1 FsTotalPay	Win Tier 2 FsType1 FsTotalPay	Win Tier 3 FsType1 FsTotalPay	Win Tier 4 FsType1 FsTotalPay	Win Tier 5 FsType1 FsTotalPay	Win Tier 6 FsType1 FsTotalPay	Win Tier 7 FsType1 FsTotalPay	Win Tier 8 FsType1 FsTotalPay	Win Tier 9 FsType1 FsTotalPay	Win Tier 10 FsType1 FsTotalPay	Win Tier 11 FsType1 FsTotalPay	Win Tier 12 FsType1 FsTotalPay	Win Tier 13 FsType1 FsTotalPay	Win Tier 14 FsType1 FsTotalPay	Win Tier 15 FsType1 FsTotalPay	Win Tier 16 FsType1 FsTotalPay	Win Tier 17 FsType1 FsTotalPay	Win Tier 18 FsType1 FsTotalPay	Win Tier 19 FsType1 FsTotalPay	Win Tier 20 FsType1 FsTotalPay	Win Tier 21 FsType1 FsTotalPay	Win Tier 22 FsType1 FsTotalPay	Win Tier 23 FsType1 FsTotalPay	Win Tier 24 FsType1 FsTotalPay	Win Tier 25 FsType1 FsTotalPay	Win Tier 0 FsType1 FsMax	Win Tier 1 FsType1 FsMax	Win Tier 2 FsType1 FsMax	Win Tier 3 FsType1 FsMax	Win Tier 4 FsType1 FsMax	Win Tier 5 FsType1 FsMax	Win Tier 6 FsType1 FsMax	Win Tier 7 FsType1 FsMax	Win Tier 8 FsType1 FsMax	Win Tier 9 FsType1 FsMax	Win Tier 10 FsType1 FsMax	Win Tier 11 FsType1 FsMax	Win Tier 12 FsType1 FsMax	Win Tier 13 FsType1 FsMax	Win Tier 14 FsType1 FsMax	Win Tier 15 FsType1 FsMax	Win Tier 16 FsType1 FsMax	Win Tier 17 FsType1 FsMax	Win Tier 18 FsType1 FsMax	Win Tier 19 FsType1 FsMax	Win Tier 20 FsType1 FsMax	Win Tier 21 FsType1 FsMax	Win Tier 22 FsType1 FsMax	Win Tier 23 FsType1 FsMax	Win Tier 24 FsType1 FsMax	Win Tier 25 FsType1 FsMax	Win Tier 0 BonusType1 BonusEntries	Win Tier 1 BonusType1 BonusEntries	Win Tier 2 BonusType1 BonusEntries	Win Tier 3 BonusType1 BonusEntries	Win Tier 4 BonusType1 BonusEntries	Win Tier 5 BonusType1 BonusEntries	Win Tier 6 BonusType1 BonusEntries	Win Tier 7 BonusType1 BonusEntries	Win Tier 8 BonusType1 BonusEntries	Win Tier 9 BonusType1 BonusEntries	Win Tier 10 BonusType1 BonusEntries	Win Tier 11 BonusType1 BonusEntries	Win Tier 12 BonusType1 BonusEntries	Win Tier 13 BonusType1 BonusEntries	Win Tier 14 BonusType1 BonusEntries	Win Tier 15 BonusType1 BonusEntries	Win Tier 16 BonusType1 BonusEntries	Win Tier 17 BonusType1 BonusEntries	Win Tier 18 BonusType1 BonusEntries	Win Tier 19 BonusType1 BonusEntries	Win Tier 20 BonusType1 BonusEntries	Win Tier 21 BonusType1 BonusEntries	Win Tier 22 BonusType1 BonusEntries	Win Tier 23 BonusType1 BonusEntries	Win Tier 24 BonusType1 BonusEntries	Win Tier 25 BonusType1 BonusEntries	Win Tier 0 BonusType1 PickBonus#	Win Tier 1 BonusType1 PickBonus#	Win Tier 2 BonusType1 PickBonus#	Win Tier 3 BonusType1 PickBonus#	Win Tier 4 BonusType1 PickBonus#	Win Tier 5 BonusType1 PickBonus#	Win Tier 6 BonusType1 PickBonus#	Win Tier 7 BonusType1 PickBonus#	Win Tier 8 BonusType1 PickBonus#	Win Tier 9 BonusType1 PickBonus#	Win Tier 10 BonusType1 PickBonus#	Win Tier 11 BonusType1 PickBonus#	Win Tier 12 BonusType1 PickBonus#	Win Tier 13 BonusType1 PickBonus#	Win Tier 14 BonusType1 PickBonus#	Win Tier 15 BonusType1 PickBonus#	Win Tier 16 BonusType1 PickBonus#	Win Tier 17 BonusType1 PickBonus#	Win Tier 18 BonusType1 PickBonus#	Win Tier 19 BonusType1 PickBonus#	Win Tier 20 BonusType1 PickBonus#	Win Tier 21 BonusType1 PickBonus#	Win Tier 22 BonusType1 PickBonus#	Win Tier 23 BonusType1 PickBonus#	Win Tier 24 BonusType1 PickBonus#	Win Tier 25 BonusType1 PickBonus#	Win Tier 0 BonusType1 Hits#	Win Tier 1 BonusType1 Hits#	Win Tier 2 BonusType1 Hits#	Win Tier 3 BonusType1 Hits#	Win Tier 4 BonusType1 Hits#	Win Tier 5 BonusType1 Hits#	Win Tier 6 BonusType1 Hits#	Win Tier 7 BonusType1 Hits#	Win Tier 8 BonusType1 Hits#	Win Tier 9 BonusType1 Hits#	Win Tier 10 BonusType1 Hits#	Win Tier 11 BonusType1 Hits#	Win Tier 12 BonusType1 Hits#	Win Tier 13 BonusType1 Hits#	Win Tier 14 BonusType1 Hits#	Win Tier 15 BonusType1 Hits#	Win Tier 16 BonusType1 Hits#	Win Tier 17 BonusType1 Hits#	Win Tier 18 BonusType1 Hits#	Win Tier 19 BonusType1 Hits#	Win Tier 20 BonusType1 Hits#	Win Tier 21 BonusType1 Hits#	Win Tier 22 BonusType1 Hits#	Win Tier 23 BonusType1 Hits#	Win Tier 24 BonusType1 Hits#	Win Tier 25 BonusType1 Hits#	Win Tier 0 BonusType1 BonusTotalPay#	Win Tier 1 BonusType1 BonusTotalPay#	Win Tier 2 BonusType1 BonusTotalPay#	Win Tier 3 BonusType1 BonusTotalPay#	Win Tier 4 BonusType1 BonusTotalPay#	Win Tier 5 BonusType1 BonusTotalPay#	Win Tier 6 BonusType1 BonusTotalPay#	Win Tier 7 BonusType1 BonusTotalPay#	Win Tier 8 BonusType1 BonusTotalPay#	Win Tier 9 BonusType1 BonusTotalPay#	Win Tier 10 BonusType1 BonusTotalPay#	Win Tier 11 BonusType1 BonusTotalPay#	Win Tier 12 BonusType1 BonusTotalPay#	Win Tier 13 BonusType1 BonusTotalPay#	Win Tier 14 BonusType1 BonusTotalPay#	Win Tier 15 BonusType1 BonusTotalPay#	Win Tier 16 BonusType1 BonusTotalPay#	Win Tier 17 BonusType1 BonusTotalPay#	Win Tier 18 BonusType1 BonusTotalPay#	Win Tier 19 BonusType1 BonusTotalPay#	Win Tier 20 BonusType1 BonusTotalPay#	Win Tier 21 BonusType1 BonusTotalPay#	Win Tier 22 BonusType1 BonusTotalPay#	Win Tier 23 BonusType1 BonusTotalPay#	Win Tier 24 BonusType1 BonusTotalPay#	Win Tier 25 BonusType1 BonusTotalPay#	Win Tier 0 BonusType1 BonusMax	Win Tier 1 BonusType1 BonusMax	Win Tier 2 BonusType1 BonusMax	Win Tier 3 BonusType1 BonusMax	Win Tier 4 BonusType1 BonusMax	Win Tier 5 BonusType1 BonusMax	Win Tier 6 BonusType1 BonusMax	Win Tier 7 BonusType1 BonusMax	Win Tier 8 BonusType1 BonusMax	Win Tier 9 BonusType1 BonusMax	Win Tier 10 BonusType1 BonusMax	Win Tier 11 BonusType1 BonusMax	Win Tier 12 BonusType1 BonusMax	Win Tier 13 BonusType1 BonusMax	Win Tier 14 BonusType1 BonusMax	Win Tier 15 BonusType1 BonusMax	Win Tier 16 BonusType1 BonusMax	Win Tier 17 BonusType1 BonusMax	Win Tier 18 BonusType1 BonusMax	Win Tier 19 BonusType1 BonusMax	Win Tier 20 BonusType1 BonusMax	Win Tier 21 BonusType1 BonusMax	Win Tier 22 BonusType1 BonusMax	Win Tier 23 BonusType1 BonusMax	Win Tier 24 BonusType1 BonusMax	Win Tier 25 BonusType1 BonusMax	
1000	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11704	0	0	6336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3960	0	0	6336	0	0	0	0	0	0	0	0	0	0	0	0	
2000	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	8	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	0	2170	0	0	0	5630	0	0	0	10280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	0	2170	0	0	0	5630	0	0	0	10280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15576	5280	0	6336	7392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3960	5280	0	6336	7392	0	0	0	0	0	0	0	0	0	0	0	
3000	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	8	0	0	0	8	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0	5	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	1464	2170	0	0	0	5630	0	0	0	21064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	1464	2170	0	0	0	5630	0	0	0	10784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23320	15840	0	6336	7392	8800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3960	5280	0	6336	7392	8800	0	0	0	0	0	0	0	0	0	0	
4000	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	8	0	0	8	8	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	4	5	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	1464	2170	0	0	4990	5630	0	0	0	21064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	1464	2170	0	0	4990	5630	0	0	0	10784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	3	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	3	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	3	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5280	0	27192	15840	0	6336	15136	8800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2640	0	3960	5280	0	6336	7744	8800	0	0	0	0	0	0	0	0	0	0	
5000	0	0	0	0	0	0	1	1	3	2	0	2	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	32	24	0	16	8	8	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	9	7	0	7	5	3	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	1464	5484	6364	0	9710	5630	6240	0	0	31154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	1464	2260	3320	0	4990	5630	6240	0	0	10784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	7	6	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	7	6	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	7	6	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7920	3520	27192	29744	0	12672	15136	8800	15400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2640	3520	3960	5280	0	6336	7744	8800	15400	0	0	0	0	0	0	0	0	0	
6000	0	0	0	0	0	0	2	2	3	2	0	2	2	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	32	24	0	16	16	24	16	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	9	7	0	7	10	8	8	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1158	3146	5484	6364	0	9710	11040	13128	7226	0	31154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	1682	2260	3320	0	4990	5630	6888	7226	0	10784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	8	6	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	8	6	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	8	6	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13200	3520	31592	29744	0	19712	15136	8800	15400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2640	3520	4400	5280	0	7040	7744	8800	15400	0	0	0	0	0	0	0	0	0	
7000	0	0	0	0	0	0	2	2	4	3	0	2	2	2	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	48	32	0	16	16	24	24	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	16	10	0	7	10	8	12	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1158	3146	7692	9224	0	9710	11040	13128	14698	0	31154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	1682	2260	3320	0	4990	5630	6888	7472	0	10784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	9	6	0	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	9	6	0	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	9	6	0	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15840	9856	35992	29744	0	26048	15136	8800	15400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2640	3520	4400	5280	0	7040	7744	8800	15400	0	0	0	0	0	0	0	0	0	
8000	0	0	0	0	0	0	3	2	4	3	2	2	2	2	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	16	48	32	16	16	16	24	24	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	16	10	9	7	10	8	12	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1728	3146	7692	9224	7794	9710	11040	13128	14698	0	44924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	1682	2260	3320	4250	4990	5630	6888	7472	0	13770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	9	6	1	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	9	6	1	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	9	6	1	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21120	9856	35992	29744	5808	26048	15136	8800	15400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2640	3520	4400	5280	5808	7040	7744	8800	15400	0	0	0	0	0	0	0	0	0	
9000	0	0	0	0	0	0	3	3	4	3	2	4	2	2	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	24	48	32	16	32	16	24	24	16	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	9	16	10	9	17	10	8	12	5	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1728	4906	7692	9224	7794	19328	11040	13128	14698	8500	44924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	1760	2260	3320	4250	5040	5630	6888	7472	8500	13770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	9	6	1	5	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	9	6	1	5	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	9	6	1	5	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23760	9856	35992	29744	5808	32384	15136	8800	15400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2640	3520	4400	5280	5808	7040	7744	8800	15400	0	0	0	0	0	0	0	0	0	
10000	0	0	0	0	0	0	3	3	5	3	2	4	2	2	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	24	56	32	16	32	16	24	24	16	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	9	19	10	9	17	10	8	12	5	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1728	4906	9522	9224	7794	19328	11040	13128	14698	8500	58362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	1760	2260	3320	4250	5040	5630	6888	7472	8500	13770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	9	7	1	5	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	9	7	1	5	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	9	7	1	5	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26400	19712	35992	34496	5808	32384	15136	8800	15400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2640	3520	4400	5280	5808	7040	7744	8800	15400	0	0	0	0	0	0	0	0	0	
11000	0	0	0	0	0	0	3	3	6	5	2	4	2	2	2	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	24	64	48	16	32	16	24	24	16	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	9	22	15	9	17	10	8	12	5	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1728	4906	11342	14996	7794	19328	11040	13128	14698	8500	68312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	1760	2260	3320	4250	5040	5630	6888	7472	8500	13770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	9	7	1	7	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	9	7	1	7	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	9	7	1	7	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26400	26400	35992	34496	5808	46024	15136	8800	15400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2640	3520	4400	5280	5808	7040	7744	8800	15400	0	0	0	0	0	0	0	0	0	
12000	0	0	0	0	0	0	3	3	6	5	2	4	2	2	2	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	24	64	48	16	32	16	24	24	16	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	9	22	15	9	17	10	8	12	5	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1728	4906	11342	14996	7794	19328	11040	13128	14698	8500	90998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	1760	2260	3320	4250	5040	5630	6888	7472	8500	13770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	9	7	1	7	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	9	7	1	7	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	9	7	1	7	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26400	26400	35992	34496	5808	46024	15136	17600	25960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2640	3520	4400	5280	5808	7040	7744	8800	15400	0	0	0	0	0	0	0	0	0	
13000	0	0	0	0	0	0	3	3	6	6	2	4	2	2	2	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	24	64	56	16	32	16	24	24	16	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	9	22	19	9	17	10	8	12	5	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1728	4906	11342	17990	7794	19328	11040	13128	14698	8500	90998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	1760	2260	3320	4250	5040	5630	6888	7472	8500	13770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	9	8	1	7	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	9	8	1	7	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	9	8	1	7	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29040	26400	35992	39424	5808	46024	15136	17600	25960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2640	3520	4400	5280	5808	7040	7744	8800	15400	0	0	0	0	0	0	0	0	0	
14000	0	0	0	0	0	0	3	4	6	6	2	4	2	2	2	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	32	64	56	16	32	16	24	24	16	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12	22	19	9	17	10	8	12	5	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1728	5866	11342	17990	7794	19328	11040	13128	14698	8500	104878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	1760	2260	3320	4250	5040	5630	6888	7472	8500	13880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	9	8	1	8	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	9	8	1	8	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	8	9	8	1	8	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29040	26400	35992	39424	5808	52360	15136	17600	25960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2640	3520	4400	5280	5808	7040	7744	8800	15400	0	0	0	0	0	0	0	0	0	
15000	0	0	0	0	0	0	3	4	6	6	2	5	2	2	2	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	32	64	56	16	40	16	24	24	16	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12	22	19	9	22	10	8	12	5	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1728	5866	11342	17990	7794	24106	11040	13128	14698	8500	104878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	700	1760	2260	3320	4250	5040	5630	6888	7472	8500	13880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	9	11	8	1	8	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	9	11	8	1	8	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	9	11	8	1	8	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29040	29568	44792	39424	5808	52360	15136	17600	25960	17600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2640	3520	4400	5280	5808	7040	7744	8800	15400	17600	0	0	0	0	0	0	0	0	
